model,alpha,fit_time,rmse,mae,r2
Ridge,0.01,0.3449892997741699,1.735733111610871,1.3448769660264528,0.07801388753952476
Ridge,0.1,0.2991182804107666,1.7357331420693722,1.344877063710062,0.07801385518165227
Ridge,1.0,0.3479297161102295,1.7357334484784257,1.3448780400410358,0.07801352966510833
Ridge,10.0,0.2981564998626709,1.7357366925725906,1.3448877402121329,0.07801008326759118
Ridge,100.0,0.2923257350921631,1.7357849854990874,1.3449800767543232,0.07795877800812212
Lasso,0.001,0.6410658359527588,1.7359628857656704,1.3453094318287184,0.0777697686707497
Lasso,0.01,0.40520310401916504,1.7399664136693005,1.348658693810008,0.07351111545313793
Lasso,0.1,0.3347325325012207,1.7965817762376195,1.3878220852363905,0.012237662345855438
Lasso,1.0,0.3121213912963867,1.807688334519048,1.40036758275,-1.2879921749364698e-05
Lasso,10.0,0.3149986267089844,1.807688334519048,1.40036758275,-1.2879921749364698e-05
