model,fit_time,accuracy,precision,recall,f1
MLPClassifier_single,4.242783784866333,0.7567,0.7537750385208012,0.9951179820992677,0.8577941434332808
GradientBoostingClassifier,2.0164377689361572,0.7566,0.7537497431682761,0.994982370490914,0.8577273790039748
MLPClassifier_multi,10.81118106842041,0.7565,0.7537244426178978,0.9948467588825604,0.8576606067691588
DecisionTreeClassifier,0.020485639572143555,0.7561,0.7533627682513605,0.994982370490914,0.8574767720446445
KNNClassifier,0.06389808654785156,0.7545,0.753530563859396,0.9913208570653648,0.8562225475841874
NaiveBayes,0.018541812896728516,0.7539,0.7546915500259201,0.9871168972064008,0.8553969093366238
SVC_poly,149.86356234550476,0.653,0.7709605774569683,0.7531868727963114,0.7619700919193305
LogisticRegression,7.747485399246216,0.6522,0.7714604236343366,0.7507458638459452,0.7609621993127148
SVC_linear,109.85471963882446,0.6445,0.7716602646180111,0.7355573637103336,0.7531764215788378
SVC_rbf,133.85389518737793,0.6428,0.771804403774664,0.7320314618931381,0.751391982182628
RandomForestClassifier,0.9690334796905518,0.5016,0.8123366440146367,0.42148087876322216,0.555
