model,cv_rmse_mean,cv_rmse_std
RandomForest,1.714561909024572,0.0036319923588571295
DecisionTree,1.7154731710267934,0.003584026327313686
GradientBoosting,1.7162220633920313,0.0036298944517338303
MLP_multi,1.7212068479336502,0.005322656386793837
MLP_single,1.7239123105044443,0.004312552679845444
Linear,1.7340885020380465,0.003984837246722643
Ridge,1.7340885029428883,0.003984995579466049
Lasso,1.7342581329046112,0.0040347509679881915
KNN,1.8160863803683231,0.02187839381115098
SVR_rbf,2.4638533963040503,0.11290272934584222
SVR_linear,2.9472394991458892,0.4014903981689895
SVR_poly,18.489175830507925,6.164149340163654
