n_neighbors,weights,rmse,neg_mse_std,rank_test_score
3,uniform,2.0354906389531418,0.5239079040490486,29
3,distance,2.0372361073073915,0.525804772851558,30
5,uniform,1.8933876849262272,0.26298186117300065,27
5,distance,1.895774069674731,0.2634940675154045,28
7,uniform,1.8261140114495864,0.1617998056174576,25
7,distance,1.8285571959829134,0.16028507945097525,26
9,uniform,1.7775134464619122,0.09027974392543898,23
9,distance,1.7805697201667448,0.0893333768286742,24
11,uniform,1.7524908322952941,0.06680368212371664,21
11,distance,1.7558993490812387,0.06494432846705889,22
13,uniform,1.7354674601668139,0.04491238365663334,4
13,distance,1.7391923872530504,0.04417586304260243,12
15,uniform,1.7347386571741745,0.03561255547931742,3
15,distance,1.7382852509596234,0.0347805218451124,10
17,uniform,1.737466246462309,0.039158631656937996,8
17,distance,1.7408822735486098,0.03821713201324941,16
19,uniform,1.7372835669431819,0.040350707480273626,7
19,distance,1.7407554946745678,0.04081384062337494,15
21,uniform,1.7294404222957869,0.05717881836502958,1
21,distance,1.7329419096917202,0.05696364811016263,2
23,uniform,1.7417387790748304,0.04815984148099536,18
23,distance,1.7451711608535856,0.0472235786961773,20
25,uniform,1.7366243227789386,0.043651522227991554,6
25,distance,1.7400218709304398,0.04379358320391149,14
27,uniform,1.736352415311852,0.04580723501464033,5
27,distance,1.7397402001438094,0.04452938913977656,13
29,uniform,1.7386054330342244,0.05339630049716175,11
29,distance,1.741911005999884,0.05210529836071197,19
31,uniform,1.7378193513775995,0.047801958735394064,9
31,distance,1.7411288594695014,0.045770351989703494,17
