run_uuid,run_name,status,start_time,end_time,artifact_uri,experiment_id,experiment_name,metric.DecisionTree_cv_rmse_mean,metric.DecisionTree_cv_rmse_std,metric.DecisionTree_fit_time,metric.DecisionTree_greedy_mae,metric.DecisionTree_greedy_r2,metric.DecisionTree_greedy_rmse,metric.DecisionTree_mae,metric.DecisionTree_optuna_mae,metric.DecisionTree_optuna_r2,metric.DecisionTree_optuna_rmse,metric.DecisionTree_r2,metric.DecisionTree_rmse,metric.DecisionTree_svd_fit_time,metric.DecisionTree_svd_mae,metric.DecisionTree_svd_r2,metric.DecisionTree_svd_rmse,metric.GradientBoosting_cv_rmse_mean,metric.GradientBoosting_cv_rmse_std,metric.GradientBoosting_fit_time,metric.GradientBoosting_mae,metric.GradientBoosting_r2,metric.GradientBoosting_rmse,metric.GradientBoosting_svd_fit_time,metric.GradientBoosting_svd_mae,metric.GradientBoosting_svd_r2,metric.GradientBoosting_svd_rmse,metric.KNN_cv_rmse_mean,metric.KNN_cv_rmse_std,metric.KNN_fit_time,metric.KNN_greedy_mae,metric.KNN_greedy_r2,metric.KNN_greedy_rmse,metric.KNN_grid_mae,metric.KNN_grid_r2,metric.KNN_grid_rmse,metric.KNN_mae,metric.KNN_optuna_mae,metric.KNN_optuna_r2,metric.KNN_optuna_rmse,metric.KNN_r2,metric.KNN_rmse,metric.KNN_svd_fit_time,metric.KNN_svd_mae,metric.KNN_svd_r2,metric.KNN_svd_rmse,metric.Lasso_alpha_0.001_mae,metric.Lasso_alpha_0.001_r2,metric.Lasso_alpha_0.001_rmse,metric.Lasso_alpha_0.01_mae,metric.Lasso_alpha_0.01_r2,metric.Lasso_alpha_0.01_rmse,metric.Lasso_alpha_0.1_mae,metric.Lasso_alpha_0.1_r2,metric.Lasso_alpha_0.1_rmse,metric.Lasso_alpha_10_mae,metric.Lasso_alpha_10_r2,metric.Lasso_alpha_10_rmse,metric.Lasso_alpha_1_mae,metric.Lasso_alpha_1_r2,metric.Lasso_alpha_1_rmse,metric.Lasso_cv_rmse_mean,metric.Lasso_cv_rmse_std,metric.Lasso_fit_time,metric.Lasso_greedy_mae,metric.Lasso_greedy_r2,metric.Lasso_greedy_rmse,metric.Lasso_grid_mae,metric.Lasso_grid_r2,metric.Lasso_grid_rmse,metric.Lasso_mae,metric.Lasso_optuna_mae,metric.Lasso_optuna_r2,metric.Lasso_optuna_rmse,metric.Lasso_r2,metric.Lasso_rmse,metric.Lasso_svd_fit_time,metric.Lasso_svd_mae,metric.Lasso_svd_r2,metric.Lasso_svd_rmse,metric.Linear_cv_rmse_mean,metric.Linear_cv_rmse_std,metric.Linear_fit_time,metric.Linear_greedy_mae,metric.Linear_greedy_r2,metric.Linear_greedy_rmse,metric.Linear_mae,metric.Linear_optuna_mae,metric.Linear_optuna_r2,metric.Linear_optuna_rmse,metric.Linear_r2,metric.Linear_rmse,metric.Linear_svd_fit_time,metric.Linear_svd_mae,metric.Linear_svd_r2,metric.Linear_svd_rmse,metric.LogisticRegression_accuracy,metric.LogisticRegression_f1,metric.LogisticRegression_fit_time,metric.LogisticRegression_precision,metric.LogisticRegression_recall,metric.MLP_multi_cv_rmse_mean,metric.MLP_multi_cv_rmse_std,metric.MLP_multi_fit_time,metric.MLP_multi_mae,metric.MLP_multi_r2,metric.MLP_multi_rmse,metric.MLP_multi_svd_fit_time,metric.MLP_multi_svd_mae,metric.MLP_multi_svd_r2,metric.MLP_multi_svd_rmse,metric.MLP_single_cv_rmse_mean,metric.MLP_single_cv_rmse_std,metric.MLP_single_fit_time,metric.MLP_single_mae,metric.MLP_single_r2,metric.MLP_single_rmse,metric.MLP_single_svd_fit_time,metric.MLP_single_svd_mae,metric.MLP_single_svd_r2,metric.MLP_single_svd_rmse,metric.NaiveBayes_accuracy,metric.NaiveBayes_f1,metric.NaiveBayes_fit_time,metric.NaiveBayes_precision,metric.NaiveBayes_recall,metric.RandomForest_cv_rmse_mean,metric.RandomForest_cv_rmse_std,metric.RandomForest_fit_time,metric.RandomForest_mae,metric.RandomForest_r2,metric.RandomForest_rmse,metric.RandomForest_svd_fit_time,metric.RandomForest_svd_mae,metric.RandomForest_svd_r2,metric.RandomForest_svd_rmse,metric.Ridge_alpha_0.01_mae,metric.Ridge_alpha_0.01_r2,metric.Ridge_alpha_0.01_rmse,metric.Ridge_alpha_0.1_mae,metric.Ridge_alpha_0.1_r2,metric.Ridge_alpha_0.1_rmse,metric.Ridge_alpha_100_mae,metric.Ridge_alpha_100_r2,metric.Ridge_alpha_100_rmse,metric.Ridge_alpha_10_mae,metric.Ridge_alpha_10_r2,metric.Ridge_alpha_10_rmse,metric.Ridge_alpha_1_mae,metric.Ridge_alpha_1_r2,metric.Ridge_alpha_1_rmse,metric.Ridge_cv_rmse_mean,metric.Ridge_cv_rmse_std,metric.Ridge_fit_time,metric.Ridge_greedy_mae,metric.Ridge_greedy_r2,metric.Ridge_greedy_rmse,metric.Ridge_grid_mae,metric.Ridge_grid_r2,metric.Ridge_grid_rmse,metric.Ridge_mae,metric.Ridge_optuna_mae,metric.Ridge_optuna_r2,metric.Ridge_optuna_rmse,metric.Ridge_r2,metric.Ridge_rmse,metric.Ridge_svd_fit_time,metric.Ridge_svd_mae,metric.Ridge_svd_r2,metric.Ridge_svd_rmse,metric.SVC_linear_accuracy,metric.SVC_linear_f1,metric.SVC_linear_fit_time,metric.SVC_linear_precision,metric.SVC_linear_recall,metric.SVR_linear_cv_rmse_mean,metric.SVR_linear_cv_rmse_std,metric.SVR_linear_fit_time,metric.SVR_linear_mae,metric.SVR_linear_r2,metric.SVR_linear_rmse,metric.SVR_linear_svd_fit_time,metric.SVR_linear_svd_mae,metric.SVR_linear_svd_r2,metric.SVR_linear_svd_rmse,metric.SVR_poly_cv_rmse_mean,metric.SVR_poly_cv_rmse_std,metric.SVR_poly_fit_time,metric.SVR_poly_mae,metric.SVR_poly_r2,metric.SVR_poly_rmse,metric.SVR_rbf_cv_rmse_mean,metric.SVR_rbf_cv_rmse_std,metric.SVR_rbf_fit_time,metric.SVR_rbf_mae,metric.SVR_rbf_r2,metric.SVR_rbf_rmse,metric.SVR_rbf_svd_fit_time,metric.SVR_rbf_svd_mae,metric.SVR_rbf_svd_r2,metric.SVR_rbf_svd_rmse,metric.greedy_best_score,metric.grid_best_score,metric.optuna_best_score,param.DecisionTree_svd_type,param.DecisionTree_type,param.GradientBoosting_svd_type,param.GradientBoosting_type,param.KNN_svd_type,param.KNN_type,param.Lasso_svd_type,param.Lasso_type,param.Linear_svd_type,param.Linear_type,param.MLP_multi_svd_type,param.MLP_multi_type,param.MLP_single_svd_type,param.MLP_single_type,param.RandomForest_svd_type,param.RandomForest_type,param.Ridge_svd_type,param.Ridge_type,param.SVR_linear_svd_type,param.SVR_linear_type,param.SVR_poly_type,param.SVR_rbf_svd_type,param.SVR_rbf_type,param.alpha,param.fit_intercept,param.max_depth,param.min_samples_leaf,param.min_samples_split,param.model__alpha,param.n_neighbors,param.p,param.weights,tag.best_model_baseline,tag.best_model_pca,tag.mlflow.parentRunId,tag.mlflow.runName,tag.mlflow.source.git.commit,tag.mlflow.source.name,tag.mlflow.source.type,tag.mlflow.user
9c8dfb8a1d474bd8a4332c1550edf7cc,baseline_models,FINISHED,1780069271508,1780070790973.0,file:C:/Users/joaop/Desktop/Project_Group_8/mlruns/1/9c8dfb8a1d474bd8a4332c1550edf7cc/artifacts,1,Projeto_Grupo_8,,,0.41365623474121094,,,,1.314188561522516,,,,0.0971417723693272,1.7176336456314163,,,,,,,22.99970531463623,1.3166016240495635,0.09673602497936062,1.7180195573198584,,,,,,,0.9718034267425537,,,,,,,1.4900599718093872,,,,-0.12158620357513428,1.914419397828773,,,,,,,,,,,,,,,,,,,,,,0.5882585048675537,,,,,,,1.3453094318287184,,,,0.0777697686707497,1.7359628857656704,,,,,,,0.178253173828125,,,,1.3448769552339666,,,,0.0780138911326651,1.735733108228644,,,,,,,,,,,,691.8648641109467,1.3301837394471392,0.08835715714902848,1.7259695200308223,,,,,,,224.76048874855042,1.326312463278547,0.09094022167725635,1.723522589629117,,,,,,,,,,,,27.857502698898315,1.3136125345605207,0.0981683765309983,1.7166568414482777,,,,,,,,,,,,,,,,,,,,,,0.05181765556335449,,,,,,,1.3448780400410358,,,,0.07801352966510833,1.7357334484784257,,,,,,,,,,,,17.791577339172363,2.6259556265830923,-1.699622606785383,2.970108309008164,,,,,,,165.9532289505005,23.252155962827334,-165.7408813072178,23.34220102436501,,,23.1081702709198,2.196795078075457,-0.9586182785475104,2.529855175459035,,,,,,,,,DecisionTreeRegressor,,GradientBoostingRegressor,,KNeighborsRegressor,,Lasso,,LinearRegression,,MLPRegressor,,MLPRegressor,,RandomForestRegressor,,Ridge,,SVR,SVR,,SVR,,,,,,,,,,RandomForest,,,baseline_models,591a03d36ffee4277828d94b35305b6beb473c89,c:/Users/joaop/Desktop/Project_Group_8/run_all.py,LOCAL,joaop
66e5661475454436a9095465c0cb7dfd,cross_validation,FINISHED,1780070790998,1780077714371.0,file:C:/Users/joaop/Desktop/Project_Group_8/mlruns/1/66e5661475454436a9095465c0cb7dfd/artifacts,1,Projeto_Grupo_8,1.7154731710267934,0.003584026327313686,,,,,,,,,,,,,,,1.7162220633920313,0.0036298944517338303,,,,,,,,,1.8160863803683231,0.02187839381115098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7342581329046112,0.0040347509679881915,,,,,,,,,,,,,,,,,,1.7340885020380465,0.003984837246722643,,,,,,,,,,,,,,,,,,,,1.7212068479336502,0.005322656386793837,,,,,,,,,1.7239123105044443,0.004312552679845444,,,,,,,,,,,,,,1.714561909024572,0.0036319923588571776,,,,,,,,,,,,,,,,,,,,,,,,1.7340885029428883,0.003984995579466049,,,,,,,,,,,,,,,,,,,,,,,2.9472394991458892,0.4014903981689895,,,,,,,,,18.489175830507925,6.164149340163654,,,,,2.4638533963040503,0.11290272934584222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cross_validation,591a03d36ffee4277828d94b35305b6beb473c89,c:/Users/joaop/Desktop/Project_Group_8/run_all.py,LOCAL,joaop
e324754ad5bc4c5997056bbbbde712f5,grid_search,FAILED,1780077714410,1780080361722.0,file:C:/Users/joaop/Desktop/Project_Group_8/mlruns/1/e324754ad5bc4c5997056bbbbde712f5/artifacts,1,Projeto_Grupo_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3453094318287184,0.0777697686707497,1.7359628857656704,1.348658693810008,0.07351111545313793,1.7399664136693005,1.3878220852363905,0.012237662345855438,1.7965817762376195,1.40036758275,-1.2879921749364698e-05,1.807688334519048,1.40036758275,-1.2879921749364698e-05,1.807688334519048,,,,,,,1.3453094318287184,0.0777697686707497,1.7359628857656704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3448769660264528,0.07801388753952476,1.735733111610871,1.344877063710062,0.07801385518165227,1.7357331420693722,1.3449800767543232,0.07795877800812212,1.7357849854990874,1.3448877402121329,0.07801008326759118,1.7357366925725906,1.3448780400410358,0.07801352966510833,1.7357334484784257,,,,,,,1.344877063710062,0.07801385518165227,1.7357331420693722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid_search,591a03d36ffee4277828d94b35305b6beb473c89,c:/Users/joaop/Desktop/Project_Group_8/run_all.py,LOCAL,joaop
ea3ccd858a5a48e18dfaebd16d024724,GridSearch_Pipeline,FINISHED,1780077724154,1780077731669.0,file:C:/Users/joaop/Desktop/Project_Group_8/mlruns/1/ea3ccd858a5a48e18dfaebd16d024724/artifacts,1,Projeto_Grupo_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0057243971497773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,e324754ad5bc4c5997056bbbbde712f5,GridSearch_Pipeline,591a03d36ffee4277828d94b35305b6beb473c89,c:/Users/joaop/Desktop/Project_Group_8/run_all.py,LOCAL,joaop
4c85e7a7bbc444bd979bb3395724a345,GridSearch_Pipeline,FINISHED,1780077744565,1780077751409.0,file:C:/Users/joaop/Desktop/Project_Group_8/mlruns/1/4c85e7a7bbc444bd979bb3395724a345/artifacts,1,Projeto_Grupo_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0063131540690184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,e324754ad5bc4c5997056bbbbde712f5,GridSearch_Pipeline,591a03d36ffee4277828d94b35305b6beb473c89,c:/Users/joaop/Desktop/Project_Group_8/run_all.py,LOCAL,joaop
4a4e447d9c2349048e65b08f56ad93dd,baseline_models,FAILED,1780080474890,1780080483747.0,file:C:/Users/joaop/Desktop/Project_Group_8/mlruns/1/4a4e447d9c2349048e65b08f56ad93dd/artifacts,1,Projeto_Grupo_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1232912540435791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_models,591a03d36ffee4277828d94b35305b6beb473c89,c:/Users/joaop/Desktop/Project_Group_8/run_all.py,LOCAL,joaop
4f74fe2019404a6da7d395d6ba66b5e5,baseline_models,FINISHED,1780080503851,1780082047737.0,file:C:/Users/joaop/Desktop/Project_Group_8/mlruns/1/4f74fe2019404a6da7d395d6ba66b5e5/artifacts,1,Projeto_Grupo_8,,,0.44051623344421387,,,,1.314188561522516,,,,0.0971417723693272,1.7176336456314163,,,,,,,24.857646703720093,1.3166016240495635,0.09673602497936062,1.7180195573198584,,,,,,,0.9099221229553223,,,,,,,1.4900599718093872,,,,-0.12158620357513428,1.914419397828773,,,,,,,,,,,,,,,,,,,,,,0.4277217388153076,,,,,,,1.3453094318287184,,,,0.0777697686707497,1.7359628857656704,,,,,,,0.10312867164611816,,,,1.3448769552339666,,,,0.0780138911326651,1.735733108228644,,,,,,,,,,,,723.3342437744141,1.3301837394471392,0.08835715714902848,1.7259695200308223,,,,,,,266.6797082424164,1.326312463278547,0.09094022167725635,1.723522589629117,,,,,,,,,,,,28.802982568740845,1.3136125345605207,0.09816837653099841,1.7166568414482775,,,,,,,,,,,,,,,,,,,,,,0.044054269790649414,,,,,,,1.3448780400410358,,,,0.07801352966510833,1.7357334484784257,,,,,,,,,,,,17.285499334335327,2.6259556265830923,-1.699622606785383,2.970108309008164,,,,,,,167.40432572364807,23.252155962827334,-165.7408813072178,23.34220102436501,,,23.497687578201294,2.196795078075457,-0.9586182785475104,2.529855175459035,,,,,,,,,DecisionTreeRegressor,,GradientBoostingRegressor,,KNeighborsRegressor,,Lasso,,LinearRegression,,MLPRegressor,,MLPRegressor,,RandomForestRegressor,,Ridge,,SVR,SVR,,SVR,,,,,,,,,,RandomForest,,,baseline_models,591a03d36ffee4277828d94b35305b6beb473c89,c:/Users/joaop/Desktop/Project_Group_8/run_all.py,LOCAL,joaop
bbfa2172b45f497b84e30f09ead519d3,cross_validation,FINISHED,1780082047762,1780089772118.0,file:C:/Users/joaop/Desktop/Project_Group_8/mlruns/1/bbfa2172b45f497b84e30f09ead519d3/artifacts,1,Projeto_Grupo_8,1.7154731710267934,0.003584026327313686,,,,,,,,,,,,,,,1.7162220633920313,0.0036298944517338303,,,,,,,,,1.8160863803683231,0.02187839381115098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7342581329046112,0.0040347509679881915,,,,,,,,,,,,,,,,,,1.7340885020380465,0.003984837246722643,,,,,,,,,,,,,,,,,,,,1.7212068479336502,0.005322656386793837,,,,,,,,,1.7239123105044443,0.004312552679845444,,,,,,,,,,,,,,1.714561909024572,0.0036319923588571295,,,,,,,,,,,,,,,,,,,,,,,,1.7340885029428883,0.003984995579466049,,,,,,,,,,,,,,,,,,,,,,,2.9472394991458892,0.4014903981689895,,,,,,,,,18.489175830507925,6.164149340163654,,,,,2.4638533963040503,0.11290272934584222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cross_validation,591a03d36ffee4277828d94b35305b6beb473c89,c:/Users/joaop/Desktop/Project_Group_8/run_all.py,LOCAL,joaop
5ef675ac53ee439496064988ae510254,grid_search,FINISHED,1780089772180,1780089842544.0,file:C:/Users/joaop/Desktop/Project_Group_8/mlruns/1/5ef675ac53ee439496064988ae510254/artifacts,1,Projeto_Grupo_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3387573957443237,0.07367867231369019,1.7398090634873065,,,,,,,,,,,1.3453094318287184,0.0777697686707497,1.7359628857656704,1.348658693810008,0.07351111545313793,1.7399664136693005,1.3878220852363905,0.012237662345855438,1.7965817762376195,1.40036758275,-1.2879921749364698e-05,1.807688334519048,1.40036758275,-1.2879921749364698e-05,1.807688334519048,,,,,,,1.3453094318287184,0.0777697686707497,1.7359628857656704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3448769660264528,0.07801388753952476,1.735733111610871,1.344877063710062,0.07801385518165227,1.7357331420693722,1.3449800767543232,0.07795877800812212,1.7357849854990874,1.3448877402121329,0.07801008326759118,1.7357366925725906,1.3448780400410358,0.07801352966510833,1.7357334484784257,,,,,,,1.344877063710062,0.07801385518165227,1.7357331420693722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid_search,591a03d36ffee4277828d94b35305b6beb473c89,c:/Users/joaop/Desktop/Project_Group_8/run_all.py,LOCAL,joaop
68977d1f64b04385900709d1a79590d8,GridSearch_Pipeline,FINISHED,1780089780864,1780089802236.0,file:C:/Users/joaop/Desktop/Project_Group_8/mlruns/1/68977d1f64b04385900709d1a79590d8/artifacts,1,Projeto_Grupo_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0057243971497773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,5ef675ac53ee439496064988ae510254,GridSearch_Pipeline,591a03d36ffee4277828d94b35305b6beb473c89,c:/Users/joaop/Desktop/Project_Group_8/run_all.py,LOCAL,joaop
