model,fit_time,rmse,mae,r2
GradientBoosting,2.8688783645629883,1.7412756977170971,1.3356068624813815,0.09526247879101413
RandomForest,1.6127679347991943,1.7450681488797866,1.335852641119705,0.09131719962657026
MLP_single,3.88405442237854,1.7472406678361616,1.3436048937218772,0.08905326574489836
DecisionTree,0.0743412971496582,1.7472902836354238,1.3372249848092945,0.08900152932087346
MLP_multi,9.476306200027466,1.7483164532055577,1.3460757611241392,0.0879311709156283
Linear,0.03142571449279785,1.7568993650492093,1.3591550035198299,0.07895405281089851
Ridge,0.03545999526977539,1.7569108838920473,1.359175155974344,0.07894197537663827
Lasso,0.06529736518859863,1.7571995053580909,1.3596050296120843,0.07863933173616133
KNN,0.07061195373535156,1.9117950087514772,1.4293999671936035,-0.09061181545257568
SVR_rbf,3.246076822280884,2.4846270713676692,2.1480738978555602,-0.8420862028304361
SVR_linear,2.7920615673065186,2.720451937641991,2.3789913421838706,-1.208358816160915
SVR_poly,21.449475049972534,9.002607666482765,8.78354937870967,-23.183779373568473
