username,anime_id,score
pringelony,50549,8.0
Katastrofico,6746,9.0
KasteK,27787,6.0
itskindacl0udy,31,7.0
promanias,53888,8.0
Fomi,34902,7.0
FraN_cs,49236,7.0
psychopeachtree,44387,6.0
Monnen,30276,8.0
MonsieurPapillon,16762,7.0
-Deimos-,1004,6.0
Moonalice,18229,5.0
FrancohGZ,905,7.0
Kasow_Durow3,6,9.0
articburnn,40496,8.0
Caio_Oliveira,2595,5.0
Fomi,38671,8.0
Frank_Lotion,4081,9.0
pris_sucks,42590,8.0
Thompsongunner97,1432,7.0
Fourbo,51367,9.0
Rixsu,57066,8.0
KatsuraDaa,28405,8.0
Cabraboiga,53439,6.0
ivaxx,24833,8.0
-Exxo-,39534,7.0
FourSeasonSage,40729,8.0
arminamini01,52299,9.0
--Secretoben--,14027,7.0
-Dakki-,237,7.0
Katiica4869,40615,8.0
Foxfell,16157,4.0
aru54,2001,10.0
CRIMSONHydra,5231,9.0
iwatch2muchanime,664,6.0
isseixkoneko,52305,7.0
TiagoLuiz,53149,7.0
CakesGalore_,54857,8.0
Kashik,40454,8.0
TiagoMoraes,36649,7.0
Katsureki,24211,7.0
ForflayyO,58939,7.0
-Autem-,28891,10.0
KasutoroSama,32282,8.0
Katsu-kun,26243,8.0
itsrj20,6624,9.0
Monusha,27631,6.0
ashe,6351,2.0
itshopelol,41361,7.0
ThuThi,3712,8.0
Kat0Megumi,4472,7.0
itikitty,40392,8.0
Tief,2961,5.0
KatsuraRin,7791,7.0
CUMGUZZLER69,25777,8.0
Foxxxxx,37991,8.0
aru4l,45613,5.0
Fotoxxxxxxxo,32937,10.0
MonkeyDMatt01,50410,8.0
Katrinvond,23441,8.0
TightBikini,52305,10.0
ashye2,226,3.0
FranHakken,8246,8.0
-David-,38883,7.0
ashigaru_anime,14719,6.0
priyaaaaa,8063,7.0
RiukixD,35459,6.0
Rissio,35459,6.0
-KATH-,36800,6.0
CPiva,48643,7.0
RiverLilly,13335,7.0
-Ariaaa-,19163,7.0
arppit,37510,9.0
Karkato,2993,7.0
iss14,45560,8.0
ps2_superstar,11665,7.0
Monkiesto,37210,6.0
itsmedibba04,49357,7.0
Karurosuuu,50713,9.0
-AcNo-,33255,9.0
Rinsing281,16417,7.0
Monkiesto,6372,7.0
MoonPhos,33455,5.0
KarnaKua,5084,7.0
FrancisFrancisco,30711,8.0
MonkeyDSean04,40956,9.0
Ritesh_0,41103,7.0
Katives,42203,10.0
Karman6,48736,6.0
KarlHare,34839,6.0
CafardVert,384,6.0
Moonmonk,1214,8.0
CSRED,19815,10.0
Francotk,31798,7.0
Riux,30279,6.0
Karinyia,49721,8.0
TiffyIffy,603,8.0
princefa5,371,5.0
armedslave,36563,7.0
Riroshi,15039,8.0
Monnen,51535,9.0
FourSeasonSage,3786,9.0
-Fuyuki_,37497,9.0
itzLevii_,39652,1.0
CaCl2,40532,9.0
TigerInSpace,48661,7.0
Francisco_Avila,56230,8.0
FoulPlay42,10721,7.0
Rio-7,22297,7.0
C_Lab,49458,9.0
RiverChan,12477,10.0
Monteriggionii,18897,5.0
KasukeLp,34577,8.0
Thypnos23,57217,9.0
Fotsuan,32551,4.0
CainhoDoHype,20899,7.0
Rionnx,36456,7.0
Moonto1987,54869,8.0
TicolinoTicolas,33731,6.0
Katsuragi222,23079,6.0
KatharinaDan,17115,5.0
-City_Hunter-,34933,7.0
Riselv,31845,7.0
Kartik_1212,52359,5.0
prouted,37208,4.0
Franciscocsjr,47778,10.0
Rishabh069,16762,7.0
Thoru_UwU,31490,9.0
asheccen,45576,7.0
artijin,11597,9.0
Throni,12531,10.0
Cacadepollo,2164,8.0
asdy,2167,8.0
Thunderman88,449,8.0
-Kyuube-,35849,8.0
Rizaadxn,30276,8.0
CLModerno,227,7.0
CaaAaaAadu,31646,8.0
RioFutabaAztec2,52034,9.0
CThrall,5680,7.0
Katoteshi,801,8.0
artosapien,44961,1.0
-Ghosxuto-,39551,8.0
arshagor190,52921,8.0
Fr4m,3786,8.0
iva-braun,158,8.0
ivyeyy,15037,3.0
princesahu1567,58939,7.0
CRManuel,41226,3.0
potatostuff,245,9.0
CachGarb,37105,8.0
promisesomething,24833,9.0
asce91,530,8.0
asd-,8425,9.0
--kitade--,6045,9.0
Fonzworth,37393,8.0
-Lei,35760,8.0
isimpfordio,39576,6.0
Followkata,56146,7.0
-AkagiChan-,1636,7.0
itsapplekid,46569,8.0
KatoJoro,52196,7.0
Monitor_LCD,14827,8.0
Kariyu7,23673,6.0
